"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0714285714285714,19242
2013,2,0,13805
2013,3,0,12382
2013,4,0,14051
2014,1,0.0625,19658
2014,2,0,13358
2014,3,0,14028
2014,4,0,14614
2015,1,0.0333333333333333,22137
2015,2,0.0258886946386946,21884
2015,3,0,21991
2015,4,0,13242
2016,1,0,16333
2016,2,0.0152284263959391,22632
2016,3,0.0159592529711375,23340
2016,4,0.026969696969697,23296
2017,1,0.0204081632653061,23128
2017,2,0,23192
2017,3,0,24012
2017,4,0,23894
2018,1,0,22589
2018,2,0,22623
2018,3,0,22509
2018,4,0,22584
2019,1,0,16027
2019,2,0,22040
2019,3,0,22437
2019,4,0,15914
2020,1,0,15048
2020,2,0,11537
2020,3,0,11461
2020,4,0,16504
2021,1,0,13629
2021,2,0,7245
2021,3,0,7477
2021,4,0,8753
2022,1,0.01,8344
2022,2,0,7701
2022,3,0.0909090909090909,15135
2022,4,0,12001
2023,1,0.0726072607260726,18675
2023,2,0,11698
2023,3,0,12236
2023,4,0,12050
2024,1,0.0526315789473684,19081
2024,2,0,13391
2024,3,0.0582010582010582,20759
2024,4,0.05,20029
2025,1,0.0526315789473684,20272
2025,2,0.0623229461756374,20939
2025,3,0.0541666666666667,21005
